
-1.999408e+01 -2.186273e+01 -2.100000e+01 -2.000000e+00 -1.321806e+01 -1.239154e+01 -inf -inf -inf -inf -1.169329e+01 -3.010307e-01 -3.010300e-01 -1.101313e+01 -1.232522e+01 -1.401578e+01 -inf -inf -inf -inf  -inf -inf -inf -inf
-1.207951e+01 -1.491952e+01 -1.308013e+01 -2.000000e+00 -4.369127e+00 -2.767962e+00 -2.974349e+00 -5.715230e+00 -4.719392e+00 -5.950974e+00 -1.917869e+00 -4.060629e-01 -3.062745e-01 -1.251434e+00 -2.581716e+00 -4.054110e+00 -5.459195e+00 -7.866087e+00 -1.088578e+01 -1.601175e+01  -2.104863e+01 -2.715975e+01 -3.344171e+01 -2.946643e+01
-1.185975e+01 -1.473347e+01 -1.286033e+01 -2.000000e+00 -4.385756e+00 -2.658490e+00 -2.743127e+00 -5.290450e+00 -4.432450e+00 -5.450722e+00 -1.718388e+00 -4.638936e-01 -3.085389e-01 -1.054974e+00 -2.374423e+00 -3.604609e+00 -4.129024e+00 -6.364640e+00 -9.386053e+00 -1.395323e+01  -1.819446e+01 -2.384990e+01 -2.971458e+01 -2.583785e+01
-1.163981e+01 -1.492078e+01 -1.264004e+01 -2.000000e+00 -4.272615e+00 -2.540841e+00 -2.464878e+00 -4.854975e+00 -4.162615e+00 -4.997728e+00 -1.556365e+00 -5.461201e-01 -3.104566e-01 -9.205660e-01 -2.161256e+00 -2.998007e+00 -3.007413e+00 -4.998835e+00 -7.976997e+00 -1.167892e+01  -1.529494e+01 -2.057003e+01 -2.597708e+01 -2.211770e+01
-1.141977e+01 -1.466941e+01 -1.242002e+01 -2.000000e+00 -4.105693e+00 -2.419496e+00 -2.168137e+00 -4.372722e+00 -3.918693e+00 -4.574259e+00 -1.423784e+00 -6.564974e-01 -3.096413e-01 -8.847734e-01 -1.939440e+00 -2.411024e+00 -2.180973e+00 -3.868025e+00 -6.666678e+00 -9.448402e+00  -1.263857e+01 -1.758585e+01 -2.234581e+01 -1.860003e+01
-1.119994e+01 -1.471404e+01 -1.220007e+01 -2.000000e+00 -3.904062e+00 -2.309170e+00 -1.913630e+00 -3.922498e+00 -3.723804e+00 -4.249236e+00 -1.300915e+00 -7.950700e-01 -3.009650e-01 -1.011212e+00 -1.736413e+00 -1.965287e+00 -1.677409e+00 -3.071294e+00 -5.433663e+00 -7.635769e+00  -1.031957e+01 -1.491803e+01 -1.891774e+01 -1.535766e+01
-1.097993e+01 -1.469002e+01 -1.198002e+01 -2.000000e+00 -3.608981e+00 -2.201780e+00 -1.809326e+00 -3.818734e+00 -3.652745e+00 -4.100161e+00 -1.171117e+00 -9.572588e-01 -2.786171e-01 -1.477441e+00 -1.586952e+00 -1.604240e+00 -1.520893e+00 -2.778523e+00 -4.520300e+00 -6.551065e+00  -8.499577e+00 -1.267227e+01 -1.578719e+01 -1.232209e+01
-1.075996e+01 -1.427820e+01 -1.176009e+01 -2.000000e+00 -3.302419e+00 -2.123351e+00 -2.028935e+00 -4.285938e+00 -3.883264e+00 -4.292338e+00 -1.051086e+00 -1.134653e+00 -2.541829e-01 -2.302135e+00 -1.540244e+00 -1.287993e+00 -1.708471e+00 -2.933461e+00 -4.326542e+00 -6.489531e+00  -7.622304e+00 -1.102712e+01 -1.314356e+01 -9.574146e+00
-1.053984e+01 -1.386639e+01 -1.154004e+01 -2.000000e+00 -3.312101e+00 -2.110841e+00 -2.508425e+00 -4.784066e+00 -4.277258e+00 -4.783619e+00 -9.837592e-01 -1.319708e+00 -2.516887e-01 -2.697798e+00 -1.598441e+00 -1.078671e+00 -1.755289e+00 -2.765441e+00 -4.062911e+00 -6.259548e+00  -7.236432e+00 -9.758186e+00 -1.113742e+01 -7.864162e+00
-1.031986e+01 -1.347760e+01 -1.132016e+01 -2.000000e+00 -3.463345e+00 -2.123269e+00 -2.947585e+00 -5.083273e+00 -4.545555e+00 -5.247949e+00 -9.546015e-01 -1.487912e+00 -2.713621e-01 -2.880479e+00 -1.709922e+00 -9.416175e-01 -1.590405e+00 -2.486000e+00 -3.535971e+00 -5.630083e+00  -6.531592e+00 -8.762225e+00 -9.736891e+00 -6.736479e+00
-1.009998e+01 -1.343184e+01 -1.110018e+01 -2.000000e+00 -3.594457e+00 -2.120812e+00 -3.198722e+00 -5.181332e+00 -4.658023e+00 -5.517357e+00 -9.349316e-01 -1.602747e+00 -3.097826e-01 -2.959266e+00 -1.840676e+00 -8.363207e-01 -1.431247e+00 -2.277687e+00 -3.099898e+00 -5.096023e+00  -5.890532e+00 -7.848628e+00 -8.564115e+00 -5.747476e+00
-9.879951e+00 -1.329457e+01 -1.088012e+01 -2.000000e+00 -3.680715e+00 -2.094392e+00 -3.355819e+00 -5.193823e+00 -4.719247e+00 -5.669842e+00 -9.119139e-01 -1.653845e+00 -3.737350e-01 -2.985790e+00 -1.945676e+00 -7.446179e-01 -1.300684e+00 -2.108628e+00 -2.792330e+00 -4.734660e+00  -5.434760e+00 -7.073010e+00 -7.513549e+00 -4.863744e+00
-9.659902e+00 -1.329457e+01 -1.066000e+01 -2.000000e+00 -3.743695e+00 -2.054605e+00 -3.499298e+00 -5.190389e+00 -4.790504e+00 -5.791998e+00 -8.838970e-01 -1.680833e+00 -4.786890e-01 -3.011738e+00 -2.000654e+00 -6.563303e-01 -1.176732e+00 -1.946276e+00 -2.545477e+00 -4.445636e+00  -5.075231e+00 -6.436881e+00 -6.624403e+00 -4.127289e+00
-9.439948e+00 -1.320305e+01 -1.044002e+01 -2.000000e+00 -3.805180e+00 -2.012736e+00 -3.690662e+00 -5.217032e+00 -4.917231e+00 -5.954553e+00 -8.558849e-01 -1.728345e+00 -6.471666e-01 -3.083689e+00 -2.049992e+00 -5.731319e-01 -1.059289e+00 -1.788804e+00 -2.311783e+00 -4.172250e+00  -4.749405e+00 -5.879616e+00 -5.884025e+00 -3.518678e+00
-9.219966e+00 -1.304007e+01 -1.022003e+01 -2.000000e+00 -3.859643e+00 -1.976577e+00 -3.946048e+00 -5.303630e+00 -5.130042e+00 -6.176643e+00 -8.316771e-01 -1.822480e+00 -9.055567e-01 -3.230936e+00 -2.111738e+00 -5.089347e-01 -9.662563e-01 -1.659301e+00 -2.114987e+00 -3.941922e+00  -4.476715e+00 -5.382697e+00 -5.268539e+00 -3.007080e+00
#24525 timesteps
#Kernel has finished in 8.229362 seconds
#species: 70
#T9: 7.000000e+00
#t_init: 1.000000e-20
#t_max: 1.000000e-09
#dt_init: 1.234568e-22
#rho: 1.000000e+08
