-1.999408e+01 -2.186273e+01 -2.100000e+01 -2.000000e+00 -1.321819e+01 -1.239143e+01 -inf -inf -inf -inf -1.169343e+01 -3.010995e-01 -3.010300e-01 -1.101327e+01 -1.232528e+01 -1.401578e+01 -inf -inf -inf -inf  -inf -inf -inf -inf
-1.445668e+01 -1.545668e+01 -1.550244e+01 -2.000000e+00 -5.815533e+00 -4.979825e+00 -9.254355e+00 -1.486995e+01 -8.703773e+00 -1.576039e+01 -4.287529e+00 -3.015954e-01 -3.010565e-01 -3.607694e+00 -4.919477e+00 -6.609643e+00 -1.450956e+01 -2.344220e+01 -2.772588e+01 -3.786117e+01  -4.812044e+01 -5.929601e+01 -7.130644e+01 -6.384626e+01
-1.427365e+01 -1.527365e+01 -1.531941e+01 -2.000000e+00 -5.634336e+00 -4.795537e+00 -8.707794e+00 -1.429471e+01 -8.345133e+00 -1.512085e+01 -4.104573e+00 -3.018551e-01 -3.010705e-01 -3.424910e+00 -4.736572e+00 -6.426563e+00 -1.395912e+01 -2.239838e+01 -2.644484e+01 -3.621410e+01  -4.610735e+01 -5.691666e+01 -6.856023e+01 -6.143644e+01
-1.404486e+01 -1.504486e+01 -1.509062e+01 -2.000000e+00 -5.409347e+00 -4.565601e+00 -8.025258e+00 -1.355485e+01 -7.903146e+00 -1.424242e+01 -3.875928e+00 -3.023786e-01 -3.010989e-01 -3.196612e+00 -4.508036e+00 -6.197666e+00 -1.327047e+01 -2.105610e+01 -2.484365e+01 -3.415540e+01  -4.359116e+01 -5.394223e+01 -6.512554e+01 -5.837501e+01
-1.381607e+01 -1.481607e+01 -1.486183e+01 -2.000000e+00 -5.187306e+00 -4.336446e+00 -7.344620e+00 -1.277845e+01 -7.472344e+00 -1.326883e+01 -3.647357e+00 -3.032639e-01 -3.011477e-01 -2.968631e+00 -4.279674e+00 -5.968664e+00 -1.257979e+01 -1.967233e+01 -2.324269e+01 -3.209694e+01  -4.107528e+01 -5.096676e+01 -6.168488e+01 -5.521850e+01
-1.358729e+01 -1.458729e+01 -1.463304e+01 -2.000000e+00 -4.970822e+00 -4.108146e+00 -6.667895e+00 -1.194904e+01 -7.058500e+00 -1.222613e+01 -3.418877e+00 -3.047599e-01 -3.012318e-01 -2.741147e+00 -4.051606e+00 -5.739431e+00 -1.188229e+01 -1.824773e+01 -2.164208e+01 -3.003882e+01  -3.855987e+01 -4.798792e+01 -5.822760e+01 -5.194732e+01
-1.338317e+01 -1.458729e+01 -1.441120e+01 -2.000000e+00 -4.787160e+00 -3.905287e+00 -6.061026e+00 -1.113588e+01 -6.707040e+00 -1.124071e+01 -3.215090e+00 -3.069437e-01 -3.013586e-01 -2.538836e+00 -3.848561e+00 -5.534453e+00 -1.123126e+01 -1.688598e+01 -2.014809e+01 -2.809123e+01  -3.614838e+01 -4.508359e+01 -5.477999e+01 -4.865144e+01
-1.317231e+01 -1.458729e+01 -1.418935e+01 -2.000000e+00 -4.615778e+00 -3.696779e+00 -5.446132e+00 -1.024569e+01 -6.366754e+00 -1.022208e+01 -3.004540e+00 -3.105611e-01 -3.015779e-01 -2.330691e+00 -3.639512e+00 -5.321664e+00 -1.051208e+01 -1.543413e+01 -1.859515e+01 -2.605988e+01  -3.362370e+01 -4.198773e+01 -5.100435e+01 -4.510850e+01
-1.295779e+01 -1.466580e+01 -1.396638e+01 -2.000000e+00 -4.477164e+00 -3.486415e+00 -4.850496e+00 -9.334996e+00 -6.039643e+00 -9.228616e+00 -2.790119e+00 -3.165065e-01 -3.019577e-01 -2.119852e+00 -3.427936e+00 -5.102739e+00 -9.696802e+00 -1.394507e+01 -1.703634e+01 -2.402771e+01  -3.111059e+01 -3.883392e+01 -4.713304e+01 -4.158470e+01
-1.273601e+01 -1.471975e+01 -1.374055e+01 -2.000000e+00 -4.396999e+00 -3.273320e+00 -4.289747e+00 -8.451568e+00 -5.706811e+00 -8.281065e+00 -2.568263e+00 -3.264897e-01 -3.026236e-01 -1.902521e+00 -3.210888e+00 -4.870657e+00 -8.736951e+00 -1.240558e+01 -1.545090e+01 -2.196589e+01  -2.857540e+01 -3.555344e+01 -4.318319e+01 -3.804677e+01
-1.251986e+01 -1.468704e+01 -1.352283e+01 -2.000000e+00 -4.389665e+00 -3.077247e+00 -3.821641e+00 -7.712589e+00 -5.377186e+00 -7.456009e+00 -2.352167e+00 -3.421159e-01 -3.036663e-01 -1.689969e+00 -3.001413e+00 -4.631487e+00 -7.687641e+00 -1.090565e+01 -1.392481e+01 -1.997806e+01  -2.613722e+01 -3.233832e+01 -3.939800e+01 -3.466184e+01
