Rate 38 80
8 3 4 5 2 4 5 5 2 4 5 5 2 4 5 2 4 5 5 2 4 2 4 2 4 2 4 2 4 2 4 2 4 2 4 2 4 2 
logT he4+he4+he4->c12 c12->he4+he4+he4 he4+c12->o16 c12+c12->he4+ne20 o16->he4+c12 he4+o16->ne20 c12+o16->he4+mg24 o16+o16->he4+si28 ne20->he4+o16 he4+ne20->mg24 he4+ne20->c12+c12 c12+ne20->he4+si28 mg24->he4+ne20 he4+mg24->si28 he4+mg24->c12+o16 si28->he4+mg24 he4+si28->s32 he4+si28->c12+ne20 he4+si28->o16+o16 s32->he4+si28 he4+s32->ar36 ar36->he4+s32 he4+ar36->ca40 ca40->he4+ar36 he4+ca40->ti44 ti44->he4+ca40 he4+ti44->cr48 cr48->he4+ti44 he4+cr48->fe52 fe52->he4+cr48 he4+fe52->ni56 ni56->he4+fe52 he4+ni56->zn60 zn60->he4+ni56 he4+zn60->ge64 ge64->he4+zn60 he4+ge64->se68 se68->he4+ge64 
5.1582E7 4.724E-40 1.000E-100 2.617E-27 1.062E-71 1.000E-100 2.773E-36 1.305E-93 1.000E-100 1.000E-100 9.301E-43 1.000E-100 1.000E-100 1.000E-100 1.371E-38 1.000E-100 1.000E-100 8.385E-53 1.000E-100 1.000E-100 1.000E-100 6.748E-72 1.000E-100 3.915E-80 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 
5.6234E7 2.395E-38 1.000E-100 2.656E-26 6.018E-69 1.000E-100 5.404E-35 4.113E-90 1.000E-100 1.000E-100 3.122E-41 1.000E-100 1.000E-100 1.000E-100 3.933E-37 1.000E-100 1.000E-100 4.706E-50 1.000E-100 1.000E-100 1.000E-100 9.079E-68 1.000E-100 1.506E-75 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 
6.1306E7 8.208E-36 1.000E-100 2.512E-25 2.842E-66 1.000E-100 9.670E-34 1.036E-86 1.000E-100 1.000E-100 9.481E-40 1.000E-100 1.000E-100 1.000E-100 9.261E-36 1.000E-100 1.000E-100 1.816E-47 1.000E-100 1.000E-100 1.000E-100 7.537E-64 1.000E-100 3.382E-71 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 
6.6834E7 2.352E-33 1.000E-100 2.218E-24 1.124E-63 1.000E-100 1.593E-32 2.092E-83 1.000E-100 1.000E-100 2.612E-38 1.000E-100 1.000E-100 1.000E-100 1.857E-34 1.000E-100 1.000E-100 4.973E-45 1.000E-100 1.000E-100 1.000E-100 3.926E-60 1.000E-100 4.522E-67 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 
7.2862E7 4.188E-31 1.000E-100 1.833E-23 3.739E-61 1.000E-100 2.421E-31 3.408E-80 1.000E-100 1.000E-100 6.545E-37 1.000E-100 1.000E-100 1.000E-100 3.273E-33 1.000E-100 1.000E-100 9.951E-43 1.000E-100 1.000E-100 1.000E-100 1.305E-56 1.000E-100 3.672E-63 1.000E-100 3.291E-95 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 
7.9433E7 4.763E-29 1.000E-100 1.420E-22 1.052E-58 1.000E-100 3.403E-30 4.495E-77 1.000E-100 1.000E-100 1.496E-35 1.000E-100 1.000E-100 1.000E-100 5.210E-32 1.000E-100 1.000E-100 1.493E-40 1.000E-100 1.000E-100 1.000E-100 2.818E-53 1.000E-100 1.847E-59 1.000E-100 1.113E-88 1.000E-100 1.016E-99 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 
8.6596E7 3.589E-27 1.000E-100 1.033E-21 2.517E-56 1.000E-100 4.431E-29 4.824E-74 3.708E-97 1.000E-100 3.129E-34 1.000E-100 1.000E-100 1.000E-100 7.658E-31 1.000E-100 1.000E-100 1.721E-38 1.000E-100 1.000E-100 1.000E-100 4.019E-50 1.000E-100 5.868E-56 1.000E-100 1.770E-82 1.000E-100 1.610E-92 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 
9.4406E7 1.853E-25 1.000E-100 7.068E-21 5.139E-54 1.000E-100 5.359E-28 4.233E-71 2.105E-93 1.000E-100 5.999E-33 1.000E-100 1.000E-100 1.000E-100 1.060E-29 1.000E-100 1.000E-100 1.558E-36 1.000E-100 1.000E-100 1.000E-100 3.850E-47 1.000E-100 1.200E-52 1.000E-100 1.318E-76 1.000E-100 1.033E-85 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 
1.0292E8 6.762E-24 1.000E-100 4.558E-20 8.996E-52 1.000E-100 6.031E-27 3.051E-68 9.308E-90 1.000E-100 1.057E-31 1.000E-100 1.000E-100 1.000E-100 1.401E-28 1.000E-100 1.000E-100 1.128E-34 1.000E-100 1.000E-100 1.000E-100 2.520E-44 1.000E-100 1.609E-49 1.000E-100 4.593E-71 1.000E-100 2.672E-79 1.000E-100 2.470E-98 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 
1.1220E8 1.795E-22 1.000E-100 2.775E-19 1.356E-49 1.000E-100 6.327E-26 1.815E-65 3.232E-86 1.000E-100 1.717E-30 1.000E-100 1.000E-100 1.000E-100 1.794E-27 1.000E-100 1.000E-100 6.652E-33 1.000E-100 1.000E-100 1.000E-100 1.146E-41 1.000E-100 1.441E-46 1.000E-100 7.536E-66 1.000E-100 2.799E-73 1.000E-100 7.199E-91 1.000E-100 2.468E-98 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 1.000E-100 
