
#    t     dt   F+(4He)   F+(12C)   F+(16O)   F+(20Ne)   F+(24Mg)   F+(28Si)   F+(32S)   F+(36Ar)   F+(40Ca)   F+(44Ti)   F+(48Cr)   F+(52Fe)   F+(56Ni)   F+(60Zn)   F+(64Ge)   F+(68Se)   F-(4He)   F-(12C)   F-(16O)   F-(20Ne)   F-(24Mg)   F-(28Si)   F-(32S)   F-(36Ar)   F-(40Ca)   F-(44Ti)   F-(48Cr)   F-(52Fe)   F-(56Ni)   F-(60Zn)   F-(64Ge)   F-(68Se)   dF(4He)   dF(12C)   dF(16O)   dF(20Ne)   dF(24Mg)   dF(28Si)   dF(32S)   dF(36Ar)   dF(40Ca)   dF(44Ti)   dF(48Cr)   dF(52Fe)   dF(56Ni)   dF(60Zn)   dF(64Ge)   dF(68Se)   
-14.310 -15.310 9.567e+00 6.859e+00 5.411e+00 9.548e+00 8.157e+00 6.400e+00 -2.418e+00 -1.241e+01 -2.312e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 3.659e+00 9.858e+00 8.192e+00 5.409e+00 1.987e+00 -4.808e-01 -7.896e+00 -1.858e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.857e+00 8.192e+00 9.548e+00 8.157e+00 6.400e+00 -2.418e+00 -1.241e+01 -2.312e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.227 -15.227 9.567e+00 6.859e+00 5.493e+00 9.548e+00 8.157e+00 6.400e+00 -2.253e+00 -1.208e+01 -2.266e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 3.742e+00 9.858e+00 8.192e+00 5.492e+00 2.070e+00 -3.970e-01 -7.647e+00 -1.817e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.857e+00 8.192e+00 9.548e+00 8.157e+00 6.400e+00 -2.253e+00 -1.208e+01 -2.266e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.144 -15.144 9.566e+00 6.859e+00 5.576e+00 9.548e+00 8.157e+00 6.400e+00 -2.087e+00 -1.175e+01 -2.218e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 3.825e+00 9.857e+00 8.192e+00 5.575e+00 2.153e+00 -3.129e-01 -7.399e+00 -1.775e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.566e+00 9.857e+00 8.191e+00 9.547e+00 8.157e+00 6.400e+00 -2.087e+00 -1.175e+01 -2.218e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-14.062 -15.062 9.566e+00 6.859e+00 5.659e+00 9.547e+00 8.157e+00 6.400e+00 -1.922e+00 -1.142e+01 -2.169e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 3.908e+00 9.857e+00 8.192e+00 5.658e+00 2.236e+00 -2.285e-01 -7.151e+00 -1.734e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.566e+00 9.857e+00 8.191e+00 9.547e+00 8.157e+00 6.400e+00 -1.922e+00 -1.142e+01 -2.169e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-13.979 -14.979 9.566e+00 6.859e+00 5.741e+00 9.547e+00 8.157e+00 6.400e+00 -1.756e+00 -1.109e+01 -2.119e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 3.992e+00 9.857e+00 8.192e+00 5.740e+00 2.320e+00 -1.439e-01 -6.902e+00 -1.693e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.566e+00 9.856e+00 8.191e+00 9.547e+00 8.157e+00 6.400e+00 -1.756e+00 -1.109e+01 -2.119e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-13.896 -14.896 9.566e+00 6.859e+00 5.824e+00 9.547e+00 8.156e+00 6.401e+00 -1.591e+00 -1.076e+01 -2.070e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 4.075e+00 9.857e+00 8.192e+00 5.823e+00 2.403e+00 -5.879e-02 -6.654e+00 -1.651e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.566e+00 9.856e+00 8.190e+00 9.547e+00 8.156e+00 6.401e+00 -1.591e+00 -1.076e+01 -2.070e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-13.813 -14.813 9.565e+00 6.859e+00 5.907e+00 9.546e+00 8.156e+00 6.401e+00 -1.425e+00 -1.043e+01 -2.020e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 4.159e+00 9.856e+00 8.192e+00 5.905e+00 2.487e+00 2.673e-02 -6.406e+00 -1.610e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.565e+00 9.856e+00 8.190e+00 9.546e+00 8.156e+00 6.401e+00 -1.425e+00 -1.043e+01 -2.020e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-13.730 -14.730 9.565e+00 6.859e+00 5.989e+00 9.546e+00 8.156e+00 6.401e+00 -1.260e+00 -1.010e+01 -1.970e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 4.242e+00 9.856e+00 8.192e+00 5.988e+00 2.571e+00 1.128e-01 -6.157e+00 -1.568e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.565e+00 9.855e+00 8.189e+00 9.546e+00 8.156e+00 6.401e+00 -1.260e+00 -1.010e+01 -1.970e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-13.648 -14.648 9.564e+00 6.859e+00 6.072e+00 9.545e+00 8.156e+00 6.401e+00 -1.094e+00 -9.766e+00 -1.921e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 4.326e+00 9.855e+00 8.191e+00 6.071e+00 2.655e+00 1.995e-01 -5.909e+00 -1.527e+01 -2.399e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.564e+00 9.855e+00 8.188e+00 9.545e+00 8.156e+00 6.401e+00 -1.094e+00 -9.766e+00 -1.921e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-13.565 -14.565 9.564e+00 6.859e+00 6.154e+00 9.545e+00 8.155e+00 6.401e+00 -9.288e-01 -9.435e+00 -1.871e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 4.410e+00 9.855e+00 8.191e+00 6.153e+00 2.740e+00 2.870e-01 -5.661e+00 -1.486e+01 -2.397e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.564e+00 9.854e+00 8.187e+00 9.544e+00 8.155e+00 6.401e+00 -9.289e-01 -9.435e+00 -1.871e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
