+2.000 +1.000  6.389  4.402 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.105e+01 -2.952e+00 -5.354e+00 -1.374e+01
+2.100 +0.991  6.492  4.410 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.096e+01 -2.952e+00 -5.354e+00 -1.367e+01
+2.200 +1.200  6.597  4.417 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.087e+01 -2.952e+00 -5.354e+00 -1.360e+01
+2.300 +1.191  6.702  4.427 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.078e+01 -2.952e+00 -5.354e+00 -1.354e+01
+2.400 +1.400  6.809  4.438 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.069e+01 -2.952e+00 -5.354e+00 -1.350e+01
+2.500 +1.391  6.917  4.451 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.060e+01 -2.952e+00 -5.354e+00 -1.345e+01
+2.600 +1.600  7.026  4.465 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.052e+01 -2.952e+00 -5.354e+00 -1.342e+01
+2.700 +1.591  7.136  4.482 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.045e+01 -2.952e+00 -5.354e+00 -1.340e+01
+2.800 +1.800  7.248  4.497 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.037e+01 -2.952e+00 -5.354e+00 -1.339e+01
+2.900 +1.791  7.361  4.516 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.031e+01 -2.952e+00 -5.354e+00 -1.338e+01
+3.000 +2.000  7.475  4.532 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.025e+01 -2.952e+00 -5.354e+00 -1.338e+01
+3.100 +1.991  7.590  4.549 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.020e+01 -2.952e+00 -5.354e+00 -1.338e+01
+3.200 +2.200  7.705  4.562 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.016e+01 -2.952e+00 -5.354e+00 -1.338e+01
+3.300 +2.191  7.819  4.574 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.013e+01 -2.952e+00 -5.354e+00 -1.338e+01
+3.400 +2.400  7.932  4.582 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.011e+01 -2.952e+00 -5.354e+00 -1.338e+01
+3.500 +2.391  8.043  4.587 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.010e+01 -2.952e+00 -5.354e+00 -1.338e+01
+3.600 +2.600  8.153  4.590 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.009e+01 -2.952e+00 -5.354e+00 -1.338e+01
+3.700 +2.591  8.261  4.591 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.009e+01 -2.952e+00 -5.354e+00 -1.338e+01
+3.800 +2.800  8.367  4.591 0.125 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.009e+01 -2.952e+00 -5.354e+00 -1.338e+01
+3.900 +2.791  8.473  4.591 0.000 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.009e+01 -2.952e+00 -5.354e+00 -1.338e+01
+4.000 +3.000  8.576  4.592 0.125 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.009e+01 -2.952e+00 -5.354e+00 -1.338e+01
+4.100 +2.991  8.680  4.592 0.125 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.009e+01 -2.952e+00 -5.354e+00 -1.338e+01
+4.200 +3.200  8.782  4.592 0.125 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.009e+01 -2.952e+00 -5.354e+00 -1.338e+01
+4.300 +3.191  8.884  4.592 0.125 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.009e+01 -2.952e+00 -5.354e+00 -1.338e+01
+4.400 +3.400  8.986  4.591 0.125 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.009e+01 -2.952e+00 -5.354e+00 -1.338e+01
+4.500 +3.391  9.087  4.591 0.125 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.009e+01 -2.952e+00 -5.354e+00 -1.338e+01
+4.600 +3.600  9.188  4.591 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.009e+01 -2.952e+00 -5.354e+00 -1.338e+01
+4.700 +3.591  9.289  4.591 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.009e+01 -2.952e+00 -5.354e+00 -1.338e+01
+4.800 +3.800  9.389  4.591 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.009e+01 -2.952e+00 -5.354e+00 -1.338e+01
+4.900 +3.791  9.490  4.591 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.009e+01 -2.952e+00 -5.354e+00 -1.338e+01
+5.000 +4.000  9.590  4.591 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.009e+01 -2.952e+00 -5.354e+00 -1.338e+01
+5.100 +3.991  9.690  4.591 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.009e+01 -2.952e+00 -5.354e+00 -1.338e+01
+5.200 +4.200  9.791  4.591 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.009e+01 -2.952e+00 -5.354e+00 -1.338e+01
+5.300 +4.191  9.891  4.591 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.009e+01 -2.952e+00 -5.355e+00 -1.338e+01
+5.400 +4.400  9.991  4.591 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.009e+01 -2.952e+00 -5.355e+00 -1.338e+01
+5.500 +4.391 10.091  4.591 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.009e+01 -2.952e+00 -5.355e+00 -1.338e+01
+5.600 +4.600 10.191  4.591 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.009e+01 -2.952e+00 -5.355e+00 -1.338e+01
+5.700 +4.591 10.291  4.591 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.009e+01 -2.952e+00 -5.355e+00 -1.338e+01
+5.800 +4.800 10.391  4.591 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.431e+00 -1.009e+01 -2.952e+00 -5.356e+00 -1.338e+01
+5.900 +4.791 10.491  4.591 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.430e+00 -1.009e+01 -2.952e+00 -5.356e+00 -1.338e+01
+6.000 +5.000 10.591  4.591 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.430e+00 -1.009e+01 -2.952e+00 -5.357e+00 -1.338e+01
+6.100 +4.991 10.691  4.591 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.430e+00 -1.009e+01 -2.952e+00 -5.357e+00 -1.338e+01
+6.200 +5.200 10.791  4.591 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.430e+00 -1.009e+01 -2.952e+00 -5.358e+00 -1.338e+01
+6.300 +5.191 10.891  4.591 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.429e+00 -1.009e+01 -2.952e+00 -5.359e+00 -1.338e+01
+6.400 +5.400 10.991  4.590 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.429e+00 -1.009e+01 -2.952e+00 -5.360e+00 -1.338e+01
+6.500 +5.391 11.091  4.590 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.428e+00 -1.009e+01 -2.952e+00 -5.362e+00 -1.338e+01
+6.600 +5.600 11.191  4.590 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.427e+00 -1.009e+01 -2.952e+00 -5.364e+00 -1.338e+01
+6.700 +5.591 11.290  4.589 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.426e+00 -1.009e+01 -2.952e+00 -5.366e+00 -1.338e+01
+6.800 +5.800 11.390  4.589 0.250 0.000 1.000 -1.447e-01 -5.542e-01 -2.512e+00 -4.425e+00 -1.009e+01 -2.952e+00 -5.370e+00 -1.338e+01
