#gnu:          step mode eq  it     t        logt      dt       Y0[6]     logY06     Y6     logY6   Yfull[6]
3625(endInt):   448 -1    1  0 1.4195e-08 -7.8479 1.4195e-09 6.4628e-03 -2.1896 6.4340e-03 -2.1915 6.4324e-03
4434(final):    448 -1    1  0 1.4195e-08 -7.8479 1.4195e-09 6.4628e-03 -2.1896 6.4262e-03 -2.1920 6.4324e-03

3501(beginInt): 449 -1    1  0 1.4195e-08 -7.8479 1.4195e-09 6.4262e-03 -2.1920 6.4262e-03 -2.1920 6.4324e-03
3550(full):     449  0    1  0 1.4195e-08 -7.8479 1.4195e-09 6.4262e-03 -2.1920 6.3689e-03 -2.1959 6.4324e-03
3571(half1):    449  1    1  0 1.4195e-08 -7.8479 7.0977e-10 6.4262e-03 -2.1920 6.3976e-03 -2.1940 6.3689e-03
3590(half2):    449  2    1  0 1.4905e-08 -7.8267 7.0977e-10 6.3976e-03 -2.1940 6.3704e-03 -2.1958 6.3689e-03
3625(endInt):   449 -1    1  0 1.5615e-08 -7.8065 1.5615e-09 6.3976e-03 -2.1940 6.3704e-03 -2.1958 6.3689e-03
4434(final):    449 -1    1  0 1.5615e-08 -7.8065 1.5615e-09 6.3976e-03 -2.1940 6.3636e-03 -2.1963 6.3689e-03

3501(beginInt): 450 -1    1  0 1.5615e-08 -7.8065 1.5615e-09 6.3636e-03 -2.1963 6.3636e-03 -2.1963 6.3689e-03
3550(full):     450  0    1  0 1.5615e-08 -7.8065 1.5615e-09 6.3636e-03 -2.1963 6.3097e-03 -2.2000 6.3689e-03
3571(half1):    450  1    1  0 1.5615e-08 -7.8065 7.8075e-10 6.3636e-03 -2.1963 6.3366e-03 -2.1981 6.3097e-03
3590(half2):    450  2    1  0 1.6396e-08 -7.7853 7.8075e-10 6.3366e-03 -2.1981 6.3112e-03 -2.1999 6.3097e-03
3625(endInt):   450 -1    1  0 1.7176e-08 -7.7651 1.7176e-09 6.3366e-03 -2.1981 6.3112e-03 -2.1999 6.3097e-03
4434(final):    450 -1    1  0 1.7176e-08 -7.7651 1.7176e-09 6.3366e-03 -2.1981 6.3054e-03 -2.2003 6.3097e-03
